Course Code,Course Title,Community Partner,Activity,Schedule,Location,Transportation Options,SL Tier,Interest Tags,Service Structure
AFRS 4570,Court Externship,Criminal courts in various parishes,"Contact professor to apply. Students will participate in court watch type volunteering in two different criminal district courts, in different parishes.",,,,,,
AFRS 4800,Black Women's Health,,,,,,Second Tier,public health,Project-Based
APMS 2183,Marching Band,Roots of Music,Student mentor and teach music at the Roots of Music program at McDonogh 35.,Selected Saturdays ,"2624 Burgundy St. New Orleans, LA 70117",Tulane shuttle (individual requests),First Tier,"Working with Youth, Creative Arts",Weekly Service
APMS 2186,Orchestra,Make Music NOLA,Students serve as music mentors. Daily activities include leading orchestra instruction for small groups of elementary aged children," Saturdays: Broadmoor Arts and Wellness Center, 10am-11:30am Harmony Oaks Community Center, 12:30-2:30pm Gernon Brown Center, 10am-12pm (noon) Sanchez Community Center , 10am-12pm (noon)"," Broadmoor Arts/Wellness, 3900 Gen Taylor Harmony Oaks Community Center, Washington at La Salle Gernon Brown Center, 1001 Harrison Avenue in City Park Sanchez Center, 1616 Caffin Ave","Tulane shuttle, some sites in biking distance",First Tier,"Working with Youth, Creative Arts",Weekly Service
ARCH 2022,Architecture Studio,Tulane Small Center for Collaborative Design,,,,,First Tier,,Project-Based
ARCH 3150,Identity and Agency ,National Organization of Minority Architects Louisiana ,"Students will produce public history on minority architects in New Orleans, and hold a family architecture expo at the end of the semester.",,,Tulane shuttle available,"First Tier, Second Tier",Cultural Preservation,Project-Based
ARCH 3742,Design in Public Interest,Small Center,,,,Tulane shuttle available,"First Tier, Second Tier",,
ARCH 4042,Advanced Studio Elective,UrbanBUILD,,,,,Second Tier,,Project-Based
ARST 3010,Lithography,Yeah! Yoga,Students will design and print tshirts with youth involved with or affected by the carceral system.,TBD,TBD,,"First Tier, Second Tier","Creative Arts, Working with Youth, Criminal Justice",Project-Based
BMEN 4040,Team Design Project II,various team-based projects built into class,,,,,Second Tier,,
CELL 2050,Genetics (Apply here: https://forms.gle/1zb5Yyn63PrPFjAR6) ,Poydras Home,"Instructor Approval Required, apply here: https://forms.gle/1zb5Yyn63PrPFjAR6  Students would meet in pairs with residents in the Memory Care unit to converse and engage with them over a series of sessions (including one with their family members), and ultimately produce a booklet of their lives. ","Availability needed between 9-11 or 1-3, ideally.",150 Broadway St,Tulane Blue Line,First Tier,Working with Elderly,"Weekly Service, Project-Based"
CELL 3210,Physiology,various; new sites will be added as the city opens more,"Our traditional partners for this class have been disrupted due to COVID. This Fall, students have supported Second Harvest or community food banks, New Orleans Medical Reserve Corp various volunteering opportunities, and others. Students are welcome to propose their own service projects if related to the course. Contact sl@tulane.edu with questions. ",,,,"First Tier, Second Tier","Working with Youth, Working with Elderly, public health",Weekly Service
CENG 1180,Impacts in Chem Engineering,"Glass Half Full, Hand by Home",Students will use the engineering design process to address customer needs. Students working with Glass Half Full will participate in one of two projects: •help to formulate an asphalt mixture using glass-sand for the purpose of filling potholes •develop a streamlined drop-off and pick-up route for glass recycling. Students working with Home by Hand will create and build out a custom internal construction management process to supplant the need for costly third-party software.,TBA,,Tulane shuttle available,First Tier,Environmental,Project-Based
CENG 3240,Unit Operations Lab,"Glass Half Full, Hand by Home",Students will use the engineering design process to address customer needs. Students working with Glass Half Full will participate in one of two projects: •help to formulate an asphalt mixture using glass-sand for the purpose of filling potholes •develop a streamlined drop-off and pick-up route for glass recycling. Students working with Home by Hand will create and build out a custom internal construction management process to supplant the need for costly third-party software.,Fridays 10-10:50,,Tulane shuttle available,"First Tier, Second Tier",Environmental,Project-Based
CLAS 3090,Law and Society in Ancient Rome,various partners,,,,,"First Tier, Second Tier",Working with Youth,Weekly Service
